x,y,CB_Gauss_Curvature,CB_WSS [pa],TB_Gauss_Curvature,TB_WSS [pa],LP_Gauss_Curvature,LP_WSS [pa],OR_Gauss_Curvature,OR_WSS [pa]
19,22,-0.133003,4.52275,-0.0798143,3.79015,0.150631,3.53445,-1.06157,2.58921
20,22,-0.146484,4.66651,-0.060807,3.57414,0.5862,3.99045,-0.194094,3.46484
3,23,-0.0128403,3.82309,0.167952,2.84354,-0.398094,3.90303,0.563356,2.61976
4,23,-0.0302441,4.59,0.177906,4.45296,-0.498367,3.96381,-0.72878,4.99446
5,23,-0.0583428,5.39525,-0.401411,5.11504,0.117448,5.35813,-1.02552,3.95614
6,23,-0.0390129,5.65472,-0.098911,4.74985,-0.432541,5.77161,-0.450589,3.7395
7,23,-0.0241787,5.05003,0.0617273,3.67349,0.00998785,5.77567,0.0593384,3.46623
8,23,-0.00454573,4.14708,0.0870439,3.2301,0.255593,6.03617,-1.00011,3.07198
9,23,0.0246756,3.14341,0.0122054,2.89231,0.0286874,4.44844,-0.00924082,2.70838
10,23,0.057108,2.39806,0.093713,2.29733,-0.217749,2.23421,0.254556,3.28984
11,23,0.081557,2.25811,-0.136022,2.79786,0.289026,1.3173,-0.443,3.57969
12,23,0.11682,2.86502,-0.227897,4.07285,0.087089,2.0663,-0.145439,5.21129
13,23,0.11065,4.13744,-0.50186,5.12512,-0.181868,3.82483,1.39983,3.22159
14,23,0.0736963,5.30183,-0.0160074,5.38494,0.125008,3.76661,-0.0477866,7.38804
15,23,0.054429,5.73931,0.389503,6.84423,0.011082,5.9016,-0.476932,7.30316
16,23,0.0217894,5.38121,-0.433151,8.20543,-0.00956494,5.01939,-0.422316,4.90708
17,23,-0.00113096,4.89338,-0.185551,5.53986,0.0293054,4.00654,0.403824,3.91851
18,23,-0.017031,4.69152,-0.119196,4.58272,-0.0611573,3.27761,-0.452508,3.18208
19,23,-0.047214,4.53286,-0.0471677,2.95843,-0.20103,3.92756,2.36702,2.56724
20,23,-0.0382454,4.18592,0.0853074,3.34219,-0.62233,2.88579,-0.0902264,2.78772
3,24,0.0148528,3.71775,0.212093,3.20138,0.257531,3.59997,-0.229116,4.29901
4,24,0.0716129,4.32499,-0.982847,4.77208,-0.283548,4.72705,-0.385386,3.48534
5,24,0.0501674,4.67591,0.386834,3.89784,-0.510765,5.04838,0.231485,4.68716
6,24,0.0828655,5.03847,-0.221604,5.75555,-0.201334,5.07346,-0.0193342,4.13066
7,24,0.0701268,4.70185,-0.0214164,4.88705,0.144558,3.74178,1.32342,2.94607
8,24,0.0658678,3.97387,0.070828,3.9351,-0.0417625,2.73364,-0.0466061,3.33692
9,24,0.0653419,3.43751,0.0318295,3.63805,0.0817626,2.15918,0.00724981,2.71579
10,24,0.0629828,3.15762,-0.0572173,2.74508,0.494637,1.79759,-0.15977,2.60039
11,24,0.0353472,3.42345,0.0142416,2.04292,-0.509164,2.8677,-0.0662982,3.51101
12,24,-0.0130749,4.26239,0.0675272,1.8288,-0.337888,4.10705,0.212372,3.05206
13,24,-0.0154557,5.33275,0.719782,2.41506,-0.365311,5.09886,-0.888486,5.12869
14,24,-0.0200204,6.37776,-0.178938,6.09708,-0.209019,5.54163,-1.05483,9.11174
15,24,-0.0417571,7.01387,-0.5809,9.50547,0.0827054,7.16765,1.20111,4.23326
16,24,-0.0707876,6.34142,0.300241,7.44169,-0.237553,5.13749,-0.133444,4.98128
17,24,-0.107059,5.6776,0.380801,5.14352,-0.0329474,3.98779,-0.292153,3.60591
18,24,-0.118432,5.32287,-0.136557,4.28196,0.114857,3.04459,-1.32211,2.61867
19,24,-0.115052,4.75179,-0.118638,3.17618,0.238621,4.13938,-1.66599,3.69357
20,24,-0.108449,4.15111,-0.0472808,4.00061,0.29721,4.78475,0.755318,4.6107
3,25,-0.0852973,3.97466,0.203244,5.05605,-0.848066,4.1665,-0.879919,4.11334
4,25,-0.0234309,4.87368,-0.673086,4.69862,0.228316,4.00204,2.03984,3.36701
5,25,0.0989145,5.37203,1.54509,4.10833,1.40776,3.59295,-0.492173,5.19802
6,25,0.0800409,5.59244,-0.0545171,6.46684,-0.0200172,6.4215,-0.246282,5.90002
7,25,0.0704791,5.24692,-0.038532,6.1994,-0.292361,4.9654,0.286072,3.92416
8,25,0.0841866,4.50169,0.124944,4.63877,0.148291,3.70814,-0.0171683,4.67521
9,25,0.0984663,4.01167,-0.0127284,4.95382,0.00719291,3.59939,0.0215169,4.49596
10,25,0.103602,3.93934,0.0303163,4.15687,-0.017351,2.6731,0.831004,2.2086
11,25,0.0742412,4.30117,0.490827,2.38672,0.449051,1.59666,0.4034,1.54071
12,25,0.0855085,4.96981,1.24921,1.87334,1.20181,1.69146,1.03008,2.8943
13,25,0.0601794,5.81351,0.662384,4.55612,0.143432,4.86853,-0.0349899,7.5733
14,25,0.0154189,6.85356,-0.372336,8.98968,-0.0110913,8.6397,-0.567746,8.72685
15,25,-0.0250862,7.21165,-0.521198,9.55841,0.0244017,6.35041,0.265279,6.47817
16,25,-0.0618906,6.47398,0.0677674,7.3909,0.00302836,4.79593,-0.0943824,4.85918
17,25,-0.134114,5.86833,0.047991,5.71284,-0.293145,3.57161,-0.0681732,2.74877
18,25,-0.140665,5.33219,0.186477,4.02398,0.707517,3.04352,0.687337,2.76487
19,25,-0.154663,4.58062,-0.17776,3.41392,-0.0499841,5.43014,-0.0185205,5.21212
20,25,-0.142062,3.83241,-0.010518,4.89289,-0.251422,3.81633,-0.0680371,3.04558
3,26,-0.0237658,3.80684,-0.537403,3.64158,-0.0456986,3.8525,-0.132969,3.23755
4,26,-0.0113945,5.22372,-0.0965131,4.8657,0.0575998,5.8024,-0.912022,5.9917
5,26,0.0480848,6.19602,-0.461313,6.25174,-0.100357,5.93918,-0.455033,5.36047
6,26,0.0357323,6.77492,-0.141573,7.92333,-0.178081,8.84995,-0.0202658,9.33515
7,26,0.0404875,6.57264,-0.0715026,8.54252,0.166289,6.36265,-0.464376,6.58623
8,26,0.038757,6.21141,0.215292,5.80565,0.37464,4.32582,0.428215,5.19923
9,26,0.045538,5.8688,-0.202284,7.08097,-0.322082,5.71168,-0.226529,7.66638
10,26,0.0516492,5.72223,-0.191515,9.39291,-0.0852682,6.57935,-0.115127,9.56244
11,26,0.0970225,5.71927,-0.306888,9.53588,0.00325317,6.0374,-0.13919,9.93162
12,26,0.0820084,6.19441,-0.372934,9.27188,0.0326471,7.1268,-1.27556,9.94547
13,26,0.0309931,6.91702,-0.272945,10.6886,-0.350263,8.69228,-0.0788589,7.57813
14,26,-0.0460666,7.24266,-0.467778,8.82869,-0.554917,5.85698,1.47251,2.90612
15,26,-0.0757669,6.77993,0.156116,5.49874,-0.278193,5.508,-0.376783,3.6949
16,26,-0.102505,5.98055,0.084052,5.05359,-0.110708,4.42274,-0.736716,4.2381
17,26,-0.0414134,5.4724,-0.660457,4.9296,0.535878,3.35811,1.21933,3.8679
18,26,-0.05116,5.02263,0.173645,4.33121,-0.740569,5.29719,-0.631058,5.68656
19,26,-0.0696476,4.14959,0.024211,5.10982,-0.192418,5.33591,-0.222822,4.41383
20,26,-0.0709467,3.21934,-0.144861,5.37979,-0.0643621,2.8452,-0.284327,2.63163
3,27,-0.136265,3.54318,-0.128843,1.98584,0.089503,2.90756,-0.186874,2.66819
4,27,-0.0777654,4.97739,-0.0910577,3.50304,-0.0260413,4.64389,-0.0131059,4.17631
5,27,-0.0631368,6.46287,-0.0511789,4.82981,0.141331,5.42375,0.409363,3.73825
6,27,-0.0259873,7.61872,-0.0773432,6.08145,-0.200684,7.46506,-0.129363,5.98723
7,27,-0.0192813,7.74759,-0.00792636,10.9438,-0.315707,11.0777,-0.532654,11.4839
8,27,-0.0221392,7.45688,-0.0309209,10.862,0.0056833,9.49712,1.10573,9.26198
9,27,-0.027235,7.08349,-0.557703,6.66491,-1.39522,7.34654,-0.60413,3.16391
10,27,-0.0346247,6.94292,-0.252224,6.24069,-0.218147,7.5174,-0.320241,4.81899
11,27,-0.019856,6.9088,-0.287525,7.49014,-0.0538423,8.61164,-0.160927,7.34632
12,27,-0.00909351,6.92063,-0.110025,8.45943,-0.0645623,7.84633,-0.0266761,6.4635
13,27,0.0102913,6.81664,-0.0315733,8.0947,-0.00516891,6.71593,8.74e-08,6.01189
14,27,0.0360354,6.17934,-0.00249712,6.28875,0.473973,3.30562,-2.41498,3.70265
15,27,0.0288371,5.49098,0.444176,4.02129,0.0867056,3.54755,0.921198,3.58748
16,27,0.0421708,5.11778,0.0961751,4.51297,-0.578226,3.92064,-0.628388,4.12168
17,27,-0.0198809,5.33833,-0.248821,4.1911,-0.460128,5.78822,0.165758,5.52516
18,27,-0.0163961,5.1254,-0.254471,5.96739,-0.25861,6.00751,-0.484755,5.40032
19,27,-0.0236696,4.01372,-0.14676,6.43726,-0.357097,4.41285,0.257319,2.91371
20,27,-0.0306662,2.96137,-0.163944,4.63267,-0.722972,2.45973,-0.356292,1.55743
3,28,-0.128246,2.73188,0.0457721,1.29746,-0.512275,2.35166,-0.0957254,1.94592
4,28,-0.0999157,3.7856,-0.0177084,2.36599,-0.00975118,3.93426,-0.720742,3.76905
5,28,-0.0391396,5.35625,-0.0813861,3.94317,0.216189,3.99391,0.0518676,2.89059
6,28,-0.0183852,6.36064,0.33768,3.32577,-0.120061,4.89004,-0.096925,3.33397
7,28,-0.0102364,6.60596,-0.123309,4.81931,0.110294,7.91947,0.136745,4.91123
8,28,-0.0159543,6.30575,0.883543,5.53897,0.636016,6.90634,0.570828,3.54808
9,28,0.00849346,5.90607,-0.275458,3.78077,0.61325,2.77233,1.18845,2.15035
10,28,0.0322739,5.82435,0.750976,2.57412,1.52419,1.55842,-0.292914,1.41965
11,28,0.00653769,5.95787,0.121653,2.79445,0.0319151,3.84143,0.0746327,2.90822
12,28,0.0114918,6.0474,-0.0424088,5.06004,-0.0944236,5.70924,-0.0212178,6.0649
13,28,0.033796,5.73914,-0.0471299,6.72749,-0.00743454,5.61829,-0.0156364,5.28059
14,28,0.0652095,5.32172,-0.0729524,5.46521,0.682509,3.35365,1.84,2.78003
15,28,0.113413,4.9727,0.352597,4.45065,0.473915,3.56615,-0.632453,3.75285
16,28,0.0472676,5.37839,0.246408,4.56294,0.13286,4.06145,0.197666,3.67523
17,28,-0.0138888,5.83057,0.102442,5.81398,0.302253,6.35903,0.224483,6.41377
18,28,-0.0474155,5.55425,-0.068677,7.18375,-0.259659,5.90954,-0.457072,5.30759
19,28,-0.0564638,4.2377,-0.11607,5.56319,0.137023,2.48832,0.213551,1.2971
20,28,-0.0854681,2.99745,0.0593379,2.57849,0.929726,1.15317,1.26042,0.778085
3,29,0.0246455,2.11706,0.105762,1.6777,0.590314,1.64188,0.350779,1.44106
4,29,0.0834854,2.88707,0.1396,2.05657,-0.462706,3.32419,1.30869,2.36375
5,29,0.041054,4.3009,0.147783,3.76842,0.0189825,4.04483,-0.598142,3.88563
6,29,0.0147436,4.8843,0.0509832,4.30398,0.0917535,3.09047,-0.01418,3.18755
7,29,0.0130957,4.83598,-0.454006,3.13563,-0.56002,2.78486,-0.688194,2.2037
8,29,0.0321895,4.55944,-0.0906415,2.53354,0.423822,2.25168,-0.503531,1.98963
9,29,0.0623917,4.48746,0.483931,3.16247,-0.450693,3.34001,-0.410379,2.27404
10,29,0.0341634,4.60459,0.136023,4.54732,-1.09602,3.42645,0.192855,4.20077
11,29,0.0411306,4.7836,-0.030286,6.22526,0.464142,4.05339,-0.32739,5.74114
12,29,0.00460203,4.98723,-0.274338,5.53428,-0.200337,5.7319,-1.05149,4.32304
13,29,0.000657606,4.9927,0.132391,3.08358,-0.41538,4.56056,0.561195,1.98155
14,29,-0.0138402,5.13898,-0.103887,2.90286,-0.164391,3.63005,-0.9264,3.83713
15,29,-0.0717814,5.49026,-0.187642,5.10528,-0.680428,4.62556,0.799556,4.09814
16,29,-0.0986866,5.8678,-0.284993,5.85357,0.257083,4.91287,-0.460702,5.3164
17,29,-0.0636981,6.49943,-0.162966,7.84137,-0.081902,7.06381,-0.83818,6.39474
18,29,-0.107284,5.93564,-0.0826599,6.58813,-0.0980377,5.44335,0.606718,3.95573
19,29,-0.128382,4.39764,-0.136654,3.15937,0.115901,1.81557,-0.971113,1.97835
20,29,-0.135753,2.94476,-0.279492,1.9967,-0.1585,1.54088,-1.12187,1.90529
3,30,0.0197879,2.16465,-0.391473,2.20993,-0.0510287,1.88729,-0.0985752,1.90536
4,30,0.176352,2.93665,-0.200011,2.39028,0.487476,2.98779,0.0627918,2.93309
5,30,0.0667891,3.98861,0.0581517,4.37329,-0.187511,4.96201,-0.082534,4.57822
6,30,0.0397484,4.36853,-0.130863,5.24055,0.146026,4.82365,-0.452966,4.20407
7,30,0.0633886,4.1656,-0.060842,3.70354,-0.0331083,2.98636,0.0802921,2.93659
8,30,0.0930561,3.97474,-0.00630078,3.60519,-0.267111,2.75324,-0.155964,2.77686
9,30,0.0825426,3.99857,0.03238,4.69207,0.545845,2.92572,0.48657,3.48674
10,30,0.0838965,3.95677,-0.139763,5.70496,-0.127024,4.80888,-0.789927,3.88872
11,30,0.0659228,3.8791,-0.145406,4.918,-0.0181673,4.88126,1.13156,2.25597
12,30,0.0974827,3.87863,-0.00622555,3.25085,0.0384987,2.15477,0.265792,1.17736
13,30,0.0414427,4.2174,0.362223,1.95342,0.805972,1.32038,1.04431,0.925733
14,30,0.0354741,4.5589,0.300548,2.86919,-0.374732,3.63126,-0.319314,3.45356
15,30,0.0626869,4.86737,-0.052055,4.79167,0.75595,4.04667,0.206037,4.14728
16,30,-0.0263393,5.67427,0.0364204,4.70236,-0.546257,5.7254,-0.466822,5.06372
17,30,-0.155948,6.47227,-0.193272,7.6927,-0.298367,6.2671,-0.101158,5.51849
18,30,-0.178649,5.43506,-0.079278,5.39891,-0.0529028,3.19747,0.651982,2.46127
19,30,-0.200877,3.6731,-0.172389,2.30432,-0.0307888,1.9277,-0.0533726,1.42245
20,30,-0.185119,2.33555,-0.27242,1.36186,0.176934,1.64888,0.47501,1.03381
3,31,-0.0499193,2.32436,-0.130596,1.62547,-0.880648,2.26933,-0.929242,2.19985
4,31,0.00766335,3.36297,-0.150224,2.27642,-0.00993196,3.54801,-1.65245,2.65621
5,31,0.0113555,4.38357,-0.0233804,4.2479,-0.0350907,5.64441,-0.439109,5.17285
6,31,0.0263145,4.69704,-0.076267,5.14398,-0.340028,4.65937,-0.115055,4.53927
7,31,0.0406136,4.50985,0.0211524,4.02512,0.0138816,3.3397,0.972621,2.35217
8,31,0.0384429,4.423,0.255215,3.89143,0.349102,3.70039,-0.247307,3.81172
9,31,0.046389,4.35725,-0.108277,5.09566,-0.280377,4.99821,-0.618461,3.42868
10,31,0.0465401,4.02767,0.049944,4.33801,-0.0597489,3.82929,-0.466799,2.39834
11,31,0.0615071,3.72015,0.184521,2.96914,0.480636,2.40398,0.140301,2.28746
12,31,0.0647295,3.65648,0.0994129,2.26354,-0.258694,2.34001,-0.667007,1.80152
13,31,0.0727259,3.82551,-0.108166,3.0565,0.0366639,2.90627,-0.148788,2.76875
14,31,0.0632006,4.16285,-0.0493895,4.56959,0.0287743,4.0689,-0.216036,3.61965
15,31,0.0263687,4.70521,0.10945,3.85156,-0.195458,3.45127,0.849366,2.4032
16,31,-0.0780164,5.4043,-0.00587918,3.86296,-1.52444,5.42744,-0.295742,4.21321
17,31,-0.109683,5.25284,0.0444705,5.72112,-0.206017,5.19997,-0.248763,4.06166
18,31,-0.108654,3.93838,-0.152889,4.22194,0.0714085,2.54338,-0.766406,1.9867
19,31,-0.0927661,2.47557,-0.203547,1.4993,-0.834524,1.17618,-0.425559,0.63039
20,31,-0.094466,1.4779,-0.0797064,0.504562,-0.450333,0.700538,-0.723303,0.618564
3,32,-0.229449,2.14304,0.159024,1.38264,-0.046888,1.76086,-0.219264,1.50602
4,32,-0.128085,3.30308,0.594022,1.8601,0.168332,3.30378,0.0635694,2.91966
5,32,-0.0341975,4.61645,0.152453,3.4519,-0.204658,5.12759,-0.482876,4.3476
6,32,-0.0313705,4.91259,-0.00589911,3.97636,-0.139703,4.55515,-0.00203323,3.49712
7,32,-0.0163126,4.88685,-0.168842,3.88567,-0.110445,3.61645,0.188417,3.7098
8,32,0.00817802,4.70022,-0.0712955,4.78464,0.110311,4.42061,0.275696,3.96071
9,32,0.0198801,4.53606,0.0455765,4.8553,-0.194822,4.2081,-0.146153,4.26506
10,32,0.0614579,4.15445,-0.0497512,5.06905,0.206918,2.52419,0.629327,2.41691
11,32,0.0849406,3.79642,0.150154,3.99469,0.134341,1.88268,0.30935,1.48239
12,32,0.100366,3.66862,0.484153,3.09336,0.325487,2.05898,1.03749,1.89809
13,32,0.103635,3.80677,0.0884785,3.99773,0.0944054,3.76786,0.0977116,3.49611
14,32,0.0951537,4.1649,0.0575168,4.43307,-0.122554,3.39638,0.081036,2.60951
15,32,0.0761122,4.57634,0.17978,3.90559,0.488403,3.39365,0.0340312,3.84553
16,32,0.053881,4.67168,0.115105,5.34996,0.724352,4.583,-0.135335,4.28623
17,32,7.12e-05,4.16514,-0.140632,5.58486,-0.0592972,3.5489,0.0293545,2.98487
18,32,-0.0420134,3.10868,-0.076467,3.05781,-0.262417,1.47423,-0.515962,0.948582
19,32,-0.0473107,2.02393,-0.0339224,1.23195,0.116758,0.630718,0.336084,0.567402
20,32,-0.0699262,1.07568,-0.131886,0.71656,-0.218346,0.464113,-0.565163,0.451276
3,33,-0.0423255,1.64687,-0.178101,1.60958,0.749021,1.71051,-0.0330007,1.7226
4,33,-0.0232702,2.58409,-0.456636,2.36879,-0.178277,3.07572,0.149842,2.59718
5,33,-0.0364903,3.71594,-0.165034,3.0622,0.0063988,4.37925,0.677107,3.92275
6,33,-0.0386609,4.09354,-0.366262,2.83653,0.229287,2.85324,-1.13695,1.94092
7,33,-0.0323915,4.25045,-0.177943,2.58213,0.0662431,4.49716,-0.116297,2.74023
8,33,-0.00374685,4.3514,-0.00366721,3.26315,-0.14329,4.01663,-0.219541,4.13127
9,33,0.0370864,4.28695,-0.215485,4.04653,0.649715,3.82032,-0.0478827,3.48423
10,33,0.0454746,4.26874,-0.47704,5.47648,-0.0260254,4.86894,-0.626367,5.52989
11,33,0.0595402,4.21398,-0.0752699,6.85633,-0.324685,4.09719,-0.420454,5.03468
12,33,0.0782737,4.26326,-0.163693,6.66249,0.47313,4.16006,-0.366648,4.48636
13,33,0.0646566,4.39611,-0.0408634,6.51025,0.224207,4.4778,-0.253019,4.87536
14,33,0.0672415,4.54017,0.0076272,6.16691,-0.00872731,4.43834,0.0109343,4.79599
15,33,0.105303,4.5672,-0.0101829,5.84551,0.0604064,4.88582,-0.0210583,4.85113
16,33,0.0890968,4.46337,0.0352324,6.50237,0.00605654,5.37732,-0.170799,5.30373
17,33,0.118095,3.79097,0.119035,5.44379,-0.239176,2.72128,0.477778,2.02844
18,33,0.0980142,3.0796,0.212305,2.52119,0.264396,1.30402,0.108596,1.12879
19,33,-0.00609442,2.09457,0.911601,1.81693,0.181577,1.30084,1.21126,1.08906
20,33,-0.0135344,1.02264,-0.0559728,1.52617,-0.0937442,0.571112,-0.109981,0.64784
3,34,0.00690774,1.41801,-0.29377,1.27727,-1.17918,2.42703,-0.901947,2.08216
4,34,-0.000536278,2.04097,-0.715115,2.23042,-0.183626,2.7845,-0.0981844,2.50661
5,34,0.0165682,2.66538,-0.0364705,2.7726,0.271258,2.97005,-0.650721,2.43914
6,34,0.0241804,2.92745,-0.232937,2.03785,-0.346599,2.01331,1.33018,0.699591
7,34,0.0274479,2.9819,0.011754,1.2796,0.0180304,1.90858,-0.0461356,1.76076
8,34,0.00747297,3.26165,-0.0380963,1.67689,-0.212492,2.66997,0.0938847,1.33463
9,34,0.000979209,3.61061,0.175688,1.64303,-0.787921,3.44709,0.111975,1.23317
10,34,-0.000530516,3.97743,0.254508,2.04319,0.101288,5.11859,0.767772,1.32375
11,34,0.00720894,4.47089,-0.0964008,3.72894,-0.706816,6.01268,-0.0859748,2.65286
12,34,0.00318363,5.07636,-0.387818,5.55655,0.413879,5.90026,-0.399675,4.72006
13,34,0.00333363,5.41215,-0.0689424,7.10187,-0.0534132,6.08395,0.371882,5.8664
14,34,0.0168796,5.26488,-0.0303923,7.1159,0.0325129,5.71021,0.741241,5.35667
15,34,0.0253619,5.03114,-0.0809848,6.25695,-0.100066,5.42005,0.0400532,5.08103
16,34,0.0512104,4.60073,-0.0480644,6.23745,-0.00596337,5.46923,0.230114,4.5412
17,34,0.115368,4.05381,0.0277687,4.00921,0.449255,1.85358,0.0101817,1.39024
18,34,0.0933352,3.52715,0.268156,1.95307,-0.179869,1.76725,-0.00473242,2.09008
19,34,0.016386,2.4665,0.473804,3.09677,1.21558,1.68895,-0.561696,1.76252
20,34,-0.038373,1.18563,-0.297305,2.52405,-0.354509,0.990748,-0.864098,0.864757
3,35,-0.053936,1.40587,0.0526809,0.781032,0.167546,1.53251,0.826084,0.975415
4,35,0.0220713,1.99856,0.127596,1.49269,-0.051382,2.83116,-0.948192,2.61876
5,35,0.0486015,2.51504,-0.091574,3.12408,-0.590456,2.87019,0.610063,2.97371
6,35,0.0608613,2.59653,0.457476,2.3338,0.756154,0.682609,1.88275,0.423484
7,35,0.086853,2.43097,1.08754,0.764722,-0.064371,1.63862,-0.165763,0.948084
8,35,0.115541,2.4821,-0.121977,1.63386,-0.0369137,1.49332,-0.981945,1.96382
9,35,0.114192,2.67568,0.369211,1.60316,0.886882,1.25775,1.2324,1.12272
10,35,0.0937063,3.10968,0.193928,1.43499,-0.0396801,1.18875,-0.139826,1.13952
11,35,0.0398328,3.78436,0.108876,1.48836,0.926125,1.87685,0.741112,0.699707
12,35,-0.00296775,4.53757,0.637056,2.77265,-0.481911,5.00231,1.19634,2.56895
13,35,-0.0298819,5.07844,0.0741521,5.08507,0.099249,6.34777,-0.693364,6.3358
14,35,-0.0377837,5.29533,-0.141419,4.84837,-0.404276,5.51718,-2.19057,5.25543
15,35,-0.0297601,5.22353,-0.303076,4.63407,-0.0846862,4.92666,-0.866243,4.39073
16,35,-0.0194588,4.86349,-0.0609168,5.06199,0.0864489,3.93471,0.0567586,3.64858
17,35,-0.0504756,4.66457,0.0617215,2.94807,0.248452,1.67641,0.524783,1.44369
18,35,-0.0509156,4.14077,0.199968,2.44458,0.161577,2.99679,0.349522,3.76277
19,35,-0.069006,2.79647,-0.0956998,5.15149,-0.931781,2.48249,0.542346,2.01804
20,35,-0.114396,1.33185,-0.15398,3.46942,1.00416,0.937193,3.57639,0.530412
3,36,-0.0818436,1.39928,0.207447,0.724215,-0.088953,1.14194,-0.0170292,0.964671
